benchmark,variant,run,success,planning_time,roadmap_nodes,path_points,path_length,point_checks,line_checks,error_type
Giant Square,BasicPRM,13,1,0.6761761999805458,252,20,53.06641401490851,11470,274,
Giant Square,BasicPRM,14,1,0.8409137999988161,252,19,49.01286025900194,11250,262,
Giant Square,BasicPRM,15,1,0.7434159000113141,252,19,50.202646614408614,11037,251,
Giant Square,BasicPRM,16,1,0.6844028999912553,252,18,45.427274035404565,11084,252,
Giant Square,BasicPRM,17,0,0.7022004000027664,252,0,0.0,11098,267,
Giant Square,BasicPRM,18,1,1.0926275000092573,252,18,45.27087589345702,11193,258,
Giant Square,BasicPRM,19,1,1.4877889000053983,252,17,43.107627032421306,11026,256,
Giant Square,BasicPRM,20,1,0.9129716999887023,252,19,51.80478315150691,11111,263,
Giant Square,BasicPRM,21,1,0.7402272000035737,252,17,43.928576269164644,11132,265,
Giant Square,BasicPRM,22,1,0.8137321999820415,252,18,47.33491348907774,11118,269,
Giant Square,BasicPRM,23,1,0.7474919000233058,252,17,44.48763931290519,11387,267,
Giant Square,BasicPRM,24,1,0.7113097000110429,252,18,44.148612627041125,11241,265,
Giant Square,BasicPRM,25,1,0.7178174000000581,252,20,44.49485235926575,11114,256,
Giant Square,BasicPRM,26,1,0.7735781999945175,252,18,45.58284090062278,11351,282,
Giant Square,BasicPRM,27,0,1.5451880999899004,252,0,0.0,11466,274,
Giant Square,BasicPRM,28,1,0.6924226999981329,252,16,44.365195997492286,11060,255,
Giant Square,BasicPRM,29,1,0.7594780999934301,252,23,58.66474350801895,11114,262,
Giant Square,BasicPRM,30,1,0.6482840999960899,252,17,49.38093974378694,11222,268,
Giant Square,BasicPRM,31,1,0.6775523999822326,252,18,47.165981196909286,11058,257,
Giant Square,BasicPRM,32,1,0.6418284999963362,252,19,52.59445725649346,11116,259,
Giant Square,BasicPRM,33,1,0.6400006999901962,252,19,46.62484991280385,11133,260,
Giant Square,BasicPRM,34,1,0.6244246999849565,252,19,47.687953634220776,11200,259,
Giant Square,BasicPRM,35,1,0.6815076000057161,252,18,44.30351592142014,11082,251,
Giant Square,BasicPRM,36,0,0.7267266999988351,252,0,0.0,11373,274,
Giant Square,BasicPRM,37,1,0.589620200014906,252,20,49.43603842535072,11165,260,
Giant Square,BasicPRM,38,0,0.5851518000126816,252,0,0.0,11155,265,
Giant Square,BasicPRM,39,1,0.6112515999993775,252,17,47.696182012007235,11027,257,
Giant Square,BasicPRM,40,1,0.634922800003551,252,19,46.12791853071181,11167,257,
Giant Square,BasicPRM,41,1,0.6122692000062671,252,17,43.809144183253004,11677,276,
Giant Square,BasicPRM,42,1,0.6312358999857679,252,18,45.06337206341298,11049,259,
Giant Square,BasicPRM,43,1,1.1543895000068005,252,18,45.32809061287385,11472,275,
Giant Square,BasicPRM,44,1,0.6766238000127487,252,17,50.4606160589744,11139,264,
Giant Square,BasicPRM,45,1,0.6573771000257693,252,20,44.774218985256525,11048,252,
