benchmark,setting,initial_roadmap_size,update_roadmap_size,k_nearest,run,success,planning_time,roadmap_nodes,error_type
Fat bottleneck,small,5,3,4,28,1,0.5199139000033028,1396,
Fat bottleneck,small,5,3,4,29,1,0.792152400012128,1772,
Fat bottleneck,small,5,3,4,30,0,3.1465542999794707,166,
Fat bottleneck,small,5,3,4,31,1,0.17361019999952987,724,
Fat bottleneck,small,5,3,4,32,0,1.0027903000009246,1911,
Fat bottleneck,small,5,3,4,33,1,0.45651799999177456,1141,
Fat bottleneck,small,5,3,4,34,1,0.8159889999951702,1590,
Fat bottleneck,small,5,3,4,35,1,0.06529639998916537,300,
Fat bottleneck,small,5,3,4,36,1,0.9746703999990132,1808,
Fat bottleneck,small,5,3,4,37,1,0.3371980000229087,926,
Fat bottleneck,small,5,3,4,38,1,0.5193098000017926,1224,
Fat bottleneck,small,5,3,4,39,1,0.013438900001347065,14,
Fat bottleneck,small,5,3,4,40,1,0.0386346000013873,146,
Fat bottleneck,small,5,3,4,41,1,0.035331100021721795,135,
Fat bottleneck,small,5,3,4,42,0,1.001508899993496,1909,
Fat bottleneck,small,5,3,4,43,1,0.21158099998137914,813,
Fat bottleneck,small,5,3,4,44,0,1.0022462999913841,2078,
Fat bottleneck,small,5,3,4,45,1,0.6009920000215061,1418,
Fat bottleneck,small,5,3,4,46,0,1.0024639000184834,1952,
Fat bottleneck,small,5,3,4,47,0,1.0011202000023331,2011,
Fat bottleneck,small,5,3,4,48,0,1.0012615000014193,1890,
Fat bottleneck,small,5,3,4,49,1,0.3334519999916665,1019,
Fat bottleneck,baseline,10,5,8,0,1,0.09140600002137944,345,
Fat bottleneck,baseline,10,5,8,1,1,0.11111189998337068,507,
Fat bottleneck,baseline,10,5,8,2,1,0.026822299987543374,44,
Fat bottleneck,baseline,10,5,8,3,1,0.11145849997410551,409,
Fat bottleneck,baseline,10,5,8,4,1,0.08870700001716614,359,
Fat bottleneck,baseline,10,5,8,5,1,0.047991499974159524,151,
Fat bottleneck,baseline,10,5,8,6,1,0.04088010001578368,102,
Fat bottleneck,baseline,10,5,8,7,1,0.0836346999858506,316,
Fat bottleneck,baseline,10,5,8,8,1,0.06474030000390485,224,
Fat bottleneck,baseline,10,5,8,9,1,0.03301330000977032,50,
Fat bottleneck,baseline,10,5,8,10,1,0.06457509999745525,241,
Fat bottleneck,baseline,10,5,8,11,1,0.012977999984286726,12,
Fat bottleneck,baseline,10,5,8,12,1,0.030861100007314235,38,
Fat bottleneck,baseline,10,5,8,13,1,0.12159689998952672,457,
Fat bottleneck,baseline,10,5,8,14,1,0.03875859998515807,94,
Fat bottleneck,baseline,10,5,8,15,1,0.03341709999949671,77,
Fat bottleneck,baseline,10,5,8,16,1,0.19704909998108633,659,
Fat bottleneck,baseline,10,5,8,17,1,0.03871540000545792,129,
Fat bottleneck,baseline,10,5,8,18,1,0.07290679999277927,259,
Fat bottleneck,baseline,10,5,8,19,1,0.011455200001364574,11,
Fat bottleneck,baseline,10,5,8,20,1,0.041912199987564236,57,
Fat bottleneck,baseline,10,5,8,21,1,0.0549880999897141,100,
Fat bottleneck,baseline,10,5,8,22,1,0.20179409999400377,688,
Fat bottleneck,baseline,10,5,8,23,0,1.0013278999831527,2108,
Fat bottleneck,baseline,10,5,8,24,1,0.05490039999131113,94,
Fat bottleneck,baseline,10,5,8,25,1,0.05160550001892261,148,
Fat bottleneck,baseline,10,5,8,26,1,0.0794134000025224,278,
Fat bottleneck,baseline,10,5,8,27,1,0.004571099998429418,11,
Fat bottleneck,baseline,10,5,8,28,1,0.011555400007637218,9,
Fat bottleneck,baseline,10,5,8,29,1,0.12905570000293665,500,
Fat bottleneck,baseline,10,5,8,30,1,0.08751029998529702,331,
